Model,MAE (LKR),RMSE (LKR),MAPE (%),MdAPE (%),R²,Training Time (s),Prediction Interval
Linear Regression,1518071.6431328608,2008375.0239968973,12.806979096429973,10.706273988676887,0.9083121591630056,0.0016760826110839844,✗
Random Forest,1595124.3354867846,2170363.7264100234,13.749020871424698,12.602503681489441,0.8929252259452176,0.07930326461791992,✗
XGBoost,1742957.0497,2290166.884024189,14.554518140371863,13.102848491566977,0.8807780055658753,0.4349091053009033,✗
XGBoost Quantile,1956021.2848999999,2720856.903342603,16.559880407909727,13.87260430702703,0.8317196039918914,0.8559370040893555,51.0%
